username,nickname,followers,score,occurrences,swedish_indicators,food_indicators,bio,profile_url
kayakomat.jonkoping,"Kayakomat Jönköping",286,38,1,"swedish_chars, city:jönköping","mat","",https://tiktok.com/@kayakomat.jonkoping
lindstroms_malmborgs,"Malmborgs&Lindströms konditori",872,33,1,"swedish_chars","konditori","",https://tiktok.com/@lindstroms_malmborgs
kappaorebro,"Kappa Bar Örebro",96,33,1,"swedish_chars, city:örebro","bar","",https://tiktok.com/@kappaorebro
landhskonditori,"Landhs konditori",480,28,1,"","konditori","",https://tiktok.com/@landhskonditori
scienceparkjkpg,"Science Park Jönköping",165,28,1,"swedish_chars, city:jönköping","","",https://tiktok.com/@scienceparkjkpg
restaurangneo,"RestaurangNeo",340,28,1,"","restaurang","",https://tiktok.com/@restaurangneo
krogcompanyvarnamo,"krogcompanyvarnamo",758,28,1,"","krog","",https://tiktok.com/@krogcompanyvarnamo
kappabargbg,"KappabarGBG",555,28,1,"","bar","",https://tiktok.com/@kappabargbg
ivansseafoodboil,"Ivans grill",270,28,1,"","food","",https://tiktok.com/@ivansseafoodboil
italienskanrestaurang,"Italienskan",89,28,1,"","restaurang, italiensk","",https://tiktok.com/@italienskanrestaurang
omayma_cafe,"omayma_nytorget",958,28,1,"","cafe","",https://tiktok.com/@omayma_cafe
mattepatte100,"Mathilda Andersson",673,28,1,"","mat","",https://tiktok.com/@mattepatte100
krubburgers,"KRUBB Burgers",1875,28,1,"","burger","",https://tiktok.com/@krubburgers
stortorgskallaren,"Stortorgskällaren",443,28,1,"swedish_chars","","",https://tiktok.com/@stortorgskallaren
fratelli.stockhol,"Fratelli Stockholm",1925,28,1,"city:stockholm","","",https://tiktok.com/@fratelli.stockhol
krogoco.ua,"Krog&Co UA",57,23,1,"","krog","",https://tiktok.com/@krogoco.ua
pataka.stockholm,"Pataka Resturang",105,23,1,"city:stockholm","","",https://tiktok.com/@pataka.stockholm
